File accession	classification	hr	sample
ENCFF035XRV	cell_line	hffc6_5_2	hffc6
ENCFF859QWL	tissue	placenta_5_1	placenta
ENCFF940XNR	cell_line	hffc6_2_1	hffc6
ENCFF416HOG	cell_line	hffc6_2_2	hffc6
ENCFF278UHB	cell_line	hffc6_2_3	hffc6
ENCFF285AKX	tissue	colonic_mucosa_2_1	colonic_mucosa
ENCFF717WSV	tissue	right_ventricle_myocardium_superior_1_1	right_ventricle_myocardium_superior
ENCFF394BIS	tissue	left_ventricle_myocardium_inferior_1_1	left_ventricle_myocardium_inferior
ENCFF993QRD	tissue	right_cardiac_atrium_3_1	right_cardiac_atrium
ENCFF296APA	tissue	left_lobe_of_liver_1_1	left_lobe_of_liver
ENCFF658HZH	tissue	posterior_vena_cava_2_1	posterior_vena_cava
ENCFF635IYG	tissue	left_colon_1_1	left_colon
ENCFF084FUG	cell_line	gm12878_5_1	gm12878
ENCFF003XKT	cell_line	k562_6_1	k562
ENCFF928NYA	cell_line	k562_6_2	k562
ENCFF488KLW	tissue	pancreas_4_1	pancreas
ENCFF391DOY	cell_line	pgp1_1_1	pgp1
ENCFF892DWO	cell_line	pgp1_1_2	pgp1
ENCFF004TUO	tissue	pancreas_2_1	pancreas
ENCFF597QME	tissue	psoas_muscle_1_1	psoas_muscle
ENCFF840MWP	tissue	right_cardiac_atrium_2_1	right_cardiac_atrium
ENCFF935TRK	cell_line	gm12878_7_1	gm12878
ENCFF700JWD	cell_line	gm12878_7_2	gm12878
ENCFF838SQM	cell_line	smooth_muscle_cell_2_1	smooth_muscle_cell
ENCFF511YJF	cell_line	smooth_muscle_cell_2_2	smooth_muscle_cell
ENCFF995GSB	tissue	body_of_pancreas_1_1	body_of_pancreas
ENCFF306SMM	tissue	gastroesophageal_sphincter_3_1	gastroesophageal_sphincter
ENCFF197RQL	tissue	tibial_nerve_3_1	tibial_nerve
ENCFF451UPN	cell_line	pgp1_2_1	pgp1
ENCFF204QFN	cell_line	pgp1_2_2	pgp1
ENCFF366BBV	tissue	transverse_colon_2_1	transverse_colon
ENCFF390GTC	tissue	gastroesophageal_sphincter_1_1	gastroesophageal_sphincter
ENCFF187XXH	tissue	gastrocnemius_medialis_2_1	gastrocnemius_medialis
ENCFF211QYH	cell_line	pgp1_endo_1_1	pgp1_endo
ENCFF892OHT	cell_line	pgp1_endo_1_2	pgp1_endo
ENCFF299BMI	cell_line	h9_panc_beta_1_1	h9_panc_beta
ENCFF206GDB	cell_line	h9_panc_beta_1_2	h9_panc_beta
ENCFF917WYN	tissue	aorta_1_1	aorta
ENCFF741NOM	tissue	placenta_8_1	placenta
ENCFF238QSB	cell_line	activated_t_cell_3_1	activated_t_cell
ENCFF155ZUU	cell_line	pgp1_astro_1_1	pgp1_astro
ENCFF993LWR	cell_line	pgp1_astro_1_2	pgp1_astro
ENCFF333KZV	tissue	mucosa_of_gallbladder_1_1	mucosa_of_gallbladder
ENCFF093OCA	tissue	ovary_4_1	ovary
ENCFF787FKA	cell_line	t_cell_1_1	t_cell
ENCFF834JTO	cell_line	t_cell_1_2	t_cell
ENCFF483MRL	cell_line	pgp1_excite_neuron_1_1	pgp1_excite_neuron
ENCFF425FGL	cell_line	pgp1_excite_neuron_1_2	pgp1_excite_neuron
ENCFF889NCM	tissue	upper_lobe_of_left_lung_5_1	upper_lobe_of_left_lung
ENCFF982CMC	tissue	placenta_1_1	placenta
ENCFF258PUQ	tissue	pancreas_1_1	pancreas
ENCFF274WSK	cell_line	h9_1_1	h9
ENCFF216CFE	cell_line	h9_1_2	h9
ENCFF460MYI	tissue	cardiac_septum_1_1	cardiac_septum
ENCFF343TBX	cell_line	t_cell_3_1	t_cell
ENCFF492RBW	cell_line	t_cell_3_2	t_cell
ENCFF090JUO	cell_line	activated_t_cell_2_1	activated_t_cell
ENCFF489CHJ	tissue	left_lung_2_1	left_lung
ENCFF932VTY	tissue	right_lobe_of_liver_1_1	right_lobe_of_liver
ENCFF221IRL	tissue	placenta_10_1	placenta
ENCFF278GBV	tissue	spleen_7_1	spleen
ENCFF471MPG	tissue	heart_right_ventricle_3_1	heart_right_ventricle
ENCFF007ABB	cell_line	hffc6_3_1	hffc6
ENCFF297SFW	cell_line	hffc6_3_2	hffc6
ENCFF948IEB	cell_line	hffc6_3_3	hffc6
