2022-08-17 22:48:49.041056	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&perturbed=false&assay_title=long+read+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Mus+musculus&lab.title=Ali+Mortazavi%2C+UCI&status=released&limit=all
ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR862DMK/	ENCSR862DMK	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J left cerebral cortex tissue male (2 months)	left cerebral cortex		ENC4_465, ENC4_466 B6Cast F1 PND 2 months Male 03 L. cortex	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF819RBS/,/files/ENCFF285NUG/,/files/ENCFF427MWY/,/files/ENCFF977AFJ/,/files/ENCFF594DAT/,/files/ENCFF020CRL/,/files/ENCFF304UQX/,/files/ENCFF439LFE/,/files/ENCFF277JRJ/,/files/ENCFF792XAE/,/files/ENCFF150TSZ/,/files/ENCFF648CBY/		ENCBS350BQS,ENCBS790MBN	1,2	1		Mus musculus	unknown	2 months												/replicates/a676ecb2-c8f9-403b-9240-8b957d6ca107/,/replicates/5dabfb46-ed7e-4c83-a70e-2d9f5fbc856b/				
/experiments/ENCSR972DID/	ENCSR972DID	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J layer of hippocampus tissue male (2 months)	layer of hippocampus		ENC4_439, ENC4_440 hippocampus_B6Cast F1_2 months_male_5_ENC4_cDNA511	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF701MFV/,/files/ENCFF338YTG/,/files/ENCFF253GGD/,/files/ENCFF509RDZ/,/files/ENCFF724GWS/,/files/ENCFF851TZJ/,/files/ENCFF572WXI/,/files/ENCFF436RSJ/,/files/ENCFF592IJK/,/files/ENCFF319IBF/,/files/ENCFF610OTK/,/files/ENCFF770KZK/		ENCBS762CAG,ENCBS379YDE	2,1	1		Mus musculus	unknown	2 months												/replicates/d4bb3aca-4270-4da5-8319-e4f252572f78/,/replicates/9faabe4b-1709-49d3-b757-2ee14f2da7ed/				
/experiments/ENCSR845IUJ/	ENCSR845IUJ	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J gastrocnemius tissue male (2 months)	gastrocnemius		ENC4_401a, ENC4_402a B6Cast F1 PND 2 months_Male Gastrocnemius	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF223WNL/,/files/ENCFF710XJS/,/files/ENCFF327DHL/,/files/ENCFF441MLQ/,/files/ENCFF262EPW/,/files/ENCFF631YRN/,/files/ENCFF958QWV/,/files/ENCFF920WRS/,/files/ENCFF972SPD/,/files/ENCFF434ITE/,/files/ENCFF350HAC/,/files/ENCFF291WVH/		ENCBS258UBR,ENCBS689CSE	1,2	1		Mus musculus	unknown	2 months												/replicates/5e692fe7-80bd-4125-a5bb-d3d1c936c022/,/replicates/6678abd8-58ce-4649-bf24-e30f9ba8dc94/				
/experiments/ENCSR402DOZ/	ENCSR402DOZ	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J gastrocnemius tissue male (14 days)	gastrocnemius		ENC4_389a, ENC4_390a B6Cast F1 PND14 Males Gastrocnemius	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF360HGM/,/files/ENCFF948TOU/,/files/ENCFF314WCX/,/files/ENCFF369DHX/,/files/ENCFF863QXC/,/files/ENCFF565KKQ/,/files/ENCFF137SHD/,/files/ENCFF792HGO/,/files/ENCFF213OCJ/,/files/ENCFF544KTY/,/files/ENCFF050HIC/,/files/ENCFF777SRQ/		ENCBS368GVV,ENCBS340HGO	2,1	1		Mus musculus	unknown	14 days												/replicates/551d9364-9b4a-414f-a96b-907c8959bb0a/,/replicates/494ea9e8-2b8f-4015-b0e7-3889737a067a/				
/experiments/ENCSR631KNS/	ENCSR631KNS	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J left cerebral cortex tissue female (14 days)	left cerebral cortex		ENC4_455, ENC4_456 B6Cast F1 PND14 3x Females 03 L. cortex	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF067FIJ/,/files/ENCFF773BXP/,/files/ENCFF360PJW/,/files/ENCFF468KWN/,/files/ENCFF647URO/,/files/ENCFF163QYU/,/files/ENCFF929DJR/,/files/ENCFF673YZV/,/files/ENCFF950QSG/,/files/ENCFF633UIS/,/files/ENCFF634WTB/,/files/ENCFF563NJO/		ENCBS120AVS,ENCBS374ENP	2,1	1		Mus musculus	unknown	14 days												/replicates/34959958-bc13-419a-9119-c5ee2d1e0153/,/replicates/08d63b1e-5fd1-49b5-8655-c459a39e1658/				
/experiments/ENCSR375EOW/	ENCSR375EOW	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J heart tissue male (2 months)	heart		ENC4_493, ENC4_494 heart_B6Cast F1 PND 2 months Male 03 heart_ENC4_cDNA605, cDNA606	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF236BJI/,/files/ENCFF583MVR/,/files/ENCFF851NBI/,/files/ENCFF358AEP/,/files/ENCFF437DOS/,/files/ENCFF505GEW/,/files/ENCFF769MAL/,/files/ENCFF487CUQ/,/files/ENCFF150RFK/,/files/ENCFF351OVP/,/files/ENCFF211WGH/,/files/ENCFF338XKM/		ENCBS154PWG,ENCBS297GPP	1,2	1		Mus musculus	unknown	2 months												/replicates/1fe45159-bd7f-4ad4-b790-33575b90720b/,/replicates/a66224be-64d7-4864-a2d0-dd0a21f90d40/				
/experiments/ENCSR437WYC/	ENCSR437WYC	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J gastrocnemius tissue male (36 days)	gastrocnemius		ENC4_397a, ENC4_398a B6Cast F1 PND36_ Male Gastrocnemius	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF128SAF/,/files/ENCFF107CZA/,/files/ENCFF875OTH/,/files/ENCFF957OYJ/,/files/ENCFF937OFR/,/files/ENCFF806XAS/,/files/ENCFF663LKC/,/files/ENCFF472VGI/,/files/ENCFF524QBF/,/files/ENCFF550PLW/,/files/ENCFF373HEO/,/files/ENCFF042DME/		ENCBS182MGW,ENCBS458CJW	1,2	1		Mus musculus	unknown	36 days												/replicates/2c2c161a-cc26-42f6-83f2-fcc3c1dab38c/,/replicates/186aef7a-a881-47ae-8efb-253e200f7ede/				
/experiments/ENCSR370BHF/	ENCSR370BHF	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J gastrocnemius tissue female (2 months)	gastrocnemius		ENC4_403a, ENC4_404a B6Cast F1 PND 2 months_Female Gastrocnemius	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF269LJQ/,/files/ENCFF163TJR/,/files/ENCFF271ZDH/,/files/ENCFF095FKV/,/files/ENCFF721JWI/,/files/ENCFF385JNL/,/files/ENCFF970PLN/,/files/ENCFF889ILV/,/files/ENCFF778AXP/,/files/ENCFF949HWT/,/files/ENCFF288WKH/,/files/ENCFF178GFU/		ENCBS523ZPG,ENCBS821KNX	2,1	1		Mus musculus	unknown	2 months												/replicates/07b7261b-ec1f-4d36-979b-399257c49702/,/replicates/18caa457-53c7-4a67-8a4f-52d007ecfc60/				
/experiments/ENCSR116DUT/	ENCSR116DUT	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J gastrocnemius tissue male adult (18-20 months)	gastrocnemius		ENC4_405, ENC4_406 B6Cast F1 PND 18-20 months_Male Gastrocnemius	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF346SPF/,/files/ENCFF316OEQ/,/files/ENCFF865ZOH/,/files/ENCFF421HRA/,/files/ENCFF397MLW/,/files/ENCFF584LYA/,/files/ENCFF964INH/,/files/ENCFF353JKI/,/files/ENCFF816MCP/,/files/ENCFF057DYQ/,/files/ENCFF343FNC/,/files/ENCFF715RFV/		ENCBS074HMM,ENCBS983BLX	2,1	1		Mus musculus	adult	18-20 months												/replicates/7949e47e-21db-4ad4-a344-618871cd294f/,/replicates/7f1e6929-94e8-4585-8d10-940d2a5bb7d1/				
/experiments/ENCSR472CHU/	ENCSR472CHU	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J layer of hippocampus tissue female (18-20 months)	layer of hippocampus		ENC4_441, ENC4_442 hippocampus_B6Cast F1_18 - 20 months_female_6_ENC4_cDNA513	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF677YIB/,/files/ENCFF896RNF/,/files/ENCFF558DQQ/,/files/ENCFF346JYL/,/files/ENCFF309ZQW/,/files/ENCFF649ECV/,/files/ENCFF241SUN/,/files/ENCFF201NMX/,/files/ENCFF973YHW/,/files/ENCFF311PXG/,/files/ENCFF803SSO/,/files/ENCFF295RJQ/		ENCBS953PDK,ENCBS528DMR	2,1	1		Mus musculus	unknown	18-20 months												/replicates/8145c01c-99c2-4ac9-9ebf-7df38f598ff9/,/replicates/3e6e71ad-f436-4e4d-80c1-2b771c60e11b/				
