gname,z_score
RASL12,2.119236778329263
RASSF4,3.478786548254837
RBBP6,2.574190546112408
RBM23,2.0331286939294664
RBM7,2.0319815668792147
RCC1,3.78327417850257
RCN1,2.5545968504422576
RGS6,2.549232917571688
RNF139,2.6493494492186884
RNF146,2.898353952427346
RNF19B,2.2495849133282917
RNFT1,2.1166113008468366
RO60,2.5256827561465904
RPA3,2.8036753179020053
RPF2,2.159902535853007
RPGR,2.1832668953830523
RPN1,2.7758428835024156
RPS6KA4,2.310278187670516
RPS6KA5,2.4306843008943493
RPS6KL1,2.0136400933229437
RPUSD1,2.554812340286677
RRBP1,2.0449525392731576
S100A4,2.587347924971883
SAFB,2.518926400672594
SAFB2,2.7246340381299086
SAMD1,3.2258865848303797
SASH1,2.5536232915273813
SAYSD1,2.080992659226273
SCARB2,2.1021025485933715
SDHAF3,3.904922350267975
SDHC,2.1836413009900615
SDR16C5,2.6044227480159092
SEPTIN4,2.256881479204369
SERPINB1,3.676717280791876
SERTAD4,2.0843941816451017
SETMAR,2.8299747705091267
SF3A1,2.347862037702756
SFT2D3,2.425679024614315
SHC3,2.0247073940171716
SHD,2.018172950186181
SHISA8,2.6673064155712356
SHKBP1,4.088353416814065
SIRT6,2.37952573770994
SLC18B1,2.11768983411624
SLC22A18,2.632649833447881
SLC37A4,2.565281865010681
SLC49A4,2.5448292312777925
SLC6A15,2.372658038626309
SLC7A7,2.5492329175716875
SLCO1A2,2.9179590393450137
SMARCA5,2.815712104679638
SMIM4,2.504255848059704
SMIM43,2.252998468603187
SMIM5,2.566170869195219
SMU1,2.9232708355102495
SNRPB,3.1230675711548033
SORT1,2.112129272711463
SOX10,2.425679024614315
SPAG7,2.359528986386034
SPECC1L,2.1783105859522736
SPIDR,4.710226774148503
SPNS1,2.448030175264692
SPPL2B,2.2832736753951646
SQOR,2.2797866002491953
SRRD,3.352538021351603
SRSF7,2.2039174439588787
SSR3,2.1030112317562475
STK19,2.786754831969445
STOML1,2.5442747667470713
STX16-NPEPL1,2.484896248108049
STX6,3.730240831561545
SUPT4H1,3.207367171997234
SYNC,3.15835104935947
SYT11,3.3835213734216407
SYTL1,2.4053050616760374
TARS3,2.7787354095132666
TBC1D10B,2.303181074848427
TBC1D15,2.083509575193066
TBC1D19,2.137883895171241
TCF19,2.549232917571688
TCF25,2.773227418010829
TCTA,2.1695214189980865
TEN1-CDK3,3.2921084894896366
TGOLN2,2.0988367760352533
THOC5,2.4463268587704747
THUMPD2,2.3323287137924327
TIMP3,2.773441911722136
TMCC3,3.0497824826212865
TMEM106B,3.7279517187761027
TMEM106C,3.1127781015637526
TMEM11,2.412269658963868
TMEM218,4.761649849441997
TMEM222,2.432655500185657
TMEM229A,4.141980686138083
TMEM52B,2.026812036537677
TMOD1,2.736837309454294
TNFRSF1A,2.242503931425926
TNIP2,2.2127727540764788
TNK2,3.025656779423223
TNS2,2.428372438208131
TOB1,2.461352237060389
TP53RK,2.69786482574443
TP53TG5,2.2330256415554586
TRAPPC2B,2.391958705012838
TRIL,3.3835213734216407
TRIM27,2.150739220873345
TRIM39,2.8970243315965654
TRIM54,2.4053050616760374
TRIM65,2.6126808378602933
TRIO,2.8526421517798637
TRPV1,2.026812036537677
TSFM,2.6332644344814526
TSHZ3,2.026812036537677
TSPAN14,2.9687958750469012
TTC31,2.026812036537677
TTC32,2.152471578631173
TVP23C-CDRT4,3.3012372671139634
TXNRD1,2.443871647321824
UBAP1,2.7202770897711086
UBE2K,2.193951443124286
UBIAD1,2.425679024614315
UBL3,3.309243149508419
UCK1,2.1210947532776103
UGP2,3.7392645846104395
UHRF1,2.400896173942209
URB1,2.026812036537677
USF1,2.2170361555562486
UVRAG,2.6493494492187
VEZT,3.257676406881229
VKORC1L1,4.075854958421614
VPS39,2.018959095067355
VPS52,2.3506085616825163
VSIG4,2.004492482522675
VTA1,2.900168287255817
VWCE,2.026812036537677
WARS1,2.1254234787322335
WASHC2A,2.0357419035764392
WDR24,2.4485471837708155
WIF1,2.5178168023256666
WSCD1,4.019592646871029
XIAP,2.026812036537677
XKR8,2.4965835477055855
XRCC3,2.4956835066750704
XRCC4,2.4053050616760374
YAF2,2.5396483988667797
YARS2,2.1471252093051367
YME1L1,3.410691862867401
YY1AP1,2.4460232427062505
ZADH2,2.2690831263562417
ZBTB8OS,2.7020333883643746
ZC3H11A,3.0750021544780877
ZCCHC9,4.23499578393825
ZDHHC2,2.408150213773511
ZER1,3.096543323787635
ZFYVE19,5.028059838114539
ZFYVE27,2.7582589562560234
ZNF133,2.8053902215127473
ZNF181,3.5951714287791283
ZNF232,2.5198740486365465
ZNF24,4.31324457583963
ZNF267,2.0473045337770652
ZNF280D,2.026812036537677
ZNF30,2.0777076475884746
ZNF557,2.026812036537677
ZNF667,2.7499644942448964
ZNF677,2.1883234095867743
ZNF746,2.405305061676027
ZNF75A,3.9762648545295325
ZNF76,4.758111313569927
ZNF839,2.0977564239929047
ZNF84,3.2113294345325047
ZNF841,2.026812036537677
ZNF852,2.044136861236806
ZPR1,2.6055884537048066
ZSCAN12,2.026812036537677
